Name,National Side,BattingAVG,Wickets,BowlingAVG
Mayank Agarwal,India,23.41,,
Liam Livingstone,England,14,0,
Kagiso Rabada,South Africa,13.8,76,20.52
Shahrukh Khan,India,21.85,,
Shikhar Dhawan,India,34.84,4,16.5
Jonny Bairstow,England,41.52,,
Odean Smith,West Indies,,,
Rahul Chahar,India,4.42,43,25.97
Arshdeep Singh,India,2,30,22.3
Harpreet Brar,India,,5,45.6
Vaibhav Arora,India,,,
Raj Bawa,India,,,
Nathan Ellis,Australia,18,1,90
Prabhsimran Singh,India,10,,
Rishi Dhawan,India,21.85,18,35.55
Bhanuka Rajapaksa,Sri Lanka,,,
Sandeep Sharma,India,8.66,112,25.43
Benny Howell,England,,,
Ishan Porel,India,,1,39
Prerak Mankad,India,,,
Atharva Taide,India,,,
Ansh Patel,India,,,
Jitesh Sharma,India,,,
Writtick Chatterjee,India,,,
Baltej Singh,India,,,
Kane Williamson,New Zealand,40.1,0,
Nicholas Pooran,West Indies,22.44,,
Washington Sundar,India,13.56,27,32.11
Rahul Tripathi,India,26.13,0,
Romario Shepherd,West Indies,,,
Abhishek Sharma,India,17.21,7,25.14
Bhuvneshwar Kumar,India,8.34,142,25.26
Marco Jansen,South Africa,0,2,22.5
Umran Malik,India,,2,48
Abdul Samad,India,15.85,2,52.5
T Natarajan,India,,20,34.4
Kartik Tyagi,India,3,13,37.76
Aiden Markram,South Africa,29.2,0,
Sean Abbott,Australia,7.5,0,
Glenn Phillips,New Zealand,13,1,20
Shreyas Gopal,India,12.21,48,25.97
Fazalhaq Farooqi,Afghanistan,,,
Vishnu Vinod,India,6.33,,
Priyam Garg,India,14.64,,
Saurabh Dubey,India,,,
Jagadeesha Suchith,India,34,12,38.5
Shashank Singh,India,,,
Ravikumar Samarth,India,,,
Sanju Samson,India,29.21,,
Prasidh Krishna,India,1.5,30,38.4
Jos Buttler,England,35.14,,
Shimron Hetmyer,West Indies,25.85,,
Trent Boult,New Zealand,4.33,76,26.09
Devdutt Padikkal,India,31.57,,
Yuzvendra Chahal,India,5.33,139,22.28
Ravichandran Ashwin,India,11.12,145,27.8
Yashasvi Jaiswal,India,22.23,,
Riyan Parag,India,16.95,3,73.66
Navdeep Saini,India,10.33,17,48.7
Nathan Coulter-Nile,Australia,7.36,48,21.91
James Neesham,New Zealand,8.71,8,38.12
Karun Nair,India,24.26,,
Rassie van der Dussen,,,,
Obed McCoy,West Indies,,,
Daryl Mitchell,New Zealand,,,
KC Cariappa,India,8,8,43.5
Tejas Baroka,India,,0,
Kuldip Yadav,India,,0,
Dhruv Jurel,India,,,
Kuldeep Sen,India,,,
Shubham Garhwal,India,,,
Anunay Singh,India,,,
Virat Kohli,India,37.39,4,92
Glenn Maxwell,Australia,25.22,22,41.59
Harshal Patel,India,11,78,23.17
Wanindu Hasaranga,Sri Lanka,1,0,
Josh Hazlewood,Australia,,12,29.75
Faf du Plessis,South Africa,34.94,0,
Mohammed Siraj,India,13.2,50,28.74
Dinesh Karthik,India,25.77,,
Anuj Rawat,India,0,,
Shahbaz Ahmed,India,8.57,9,15.11
David Willey,England,,2,47.5
Sherfane Rutherford,West Indies,14.6,1,59
Mahipal Lomror,India,22.62,1,74
Finn Allen,New Zealand,,,
Jason Behrendorff,Australia,,5,33
Siddarth Kaul,India,5,58,29.24
Karn Sharma,India,15.09,59,27.28
Suyash Prabhudessai,India,,,
Chama Milind,,,,
Aneeshwar Gautam,India,,,
Akash Deep,India,,,
Luvnith Sisodia,India,,,
Rohit Sharma,India,31.17,15,30.2
Ishan Kishan,India,28.47,,
Jasprit Bumrah,India,11.2,130,23.05
Tim David,Singapore,1,,
Jofra Archer,England,15,46,21.32
Suryakumar Yadav,India,28.9,0,
